"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 03, 2022","450.30","436.85","455.68","432.30","766.76K","3.09%"
"Apr 02, 2022","436.82","447.61","453.96","435.99","915.82K","-2.41%"
"Apr 01, 2022","447.59","428.84","447.59","413.53","1.08M","4.37%"
"Mar 31, 2022","428.84","442.01","452.11","424.49","1.08M","-2.98%"
"Mar 30, 2022","442.01","434.17","449.20","425.78","856.98K","1.78%"
"Mar 29, 2022","434.27","429.81","441.60","429.70","706.07K","1.04%"
"Mar 28, 2022","429.81","430.71","440.82","428.29","806.52K","-0.21%"
"Mar 27, 2022","430.71","415.82","431.39","411.81","549.35K","3.52%"
"Mar 26, 2022","416.08","410.21","416.40","407.50","318.19K","1.43%"
"Mar 25, 2022","410.21","414.29","421.49","405.63","664.78K","-0.98%"
"Mar 24, 2022","414.29","408.41","416.50","405.38","654.66K","1.46%"
"Mar 23, 2022","408.32","404.21","411.61","398.38","584.51K","1.02%"
"Mar 22, 2022","404.21","396.08","409.90","394.99","671.45K","2.05%"
"Mar 21, 2022","396.09","390.82","399.21","385.59","595.93K","1.35%"
"Mar 20, 2022","390.82","399.91","400.61","386.41","447.96K","-2.29%"
"Mar 19, 2022","400.00","397.20","406.10","395.10","520.29K","0.70%"
