"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 25, 2022","104.500","104.500","104.900","98.800","464.51K","0.00%"
"Apr 24, 2022","104.500","105.000","105.900","103.700","188.78K","-0.48%"
"Apr 23, 2022","105.000","105.400","107.200","104.900","151.70K","-0.38%"
"Apr 22, 2022","105.400","106.700","108.600","105.100","307.21K","-1.40%"
"Apr 21, 2022","106.900","111.800","114.400","105.600","374.01K","-4.47%"
"Apr 20, 2022","111.900","113.800","114.100","110.700","317.78K","-1.67%"
"Apr 19, 2022","113.800","111.300","114.200","110.600","267.78K","2.25%"
"Apr 18, 2022","111.300","108.800","111.500","105.500","435.19K","2.30%"
"Apr 17, 2022","108.800","114.300","115.100","108.300","275.69K","-4.81%"
"Apr 16, 2022","114.300","110.900","114.700","110.200","256.34K","3.07%"
"Apr 15, 2022","110.900","107.400","112.800","107.100","303.13K","3.26%"
"Apr 14, 2022","107.400","110.500","112.300","106.100","323.66K","-2.81%"
"Apr 13, 2022","110.500","104.800","110.800","104.000","389.93K","5.44%"
"Apr 12, 2022","104.800","102.400","105.800","101.900","298.69K","2.34%"
"Apr 11, 2022","102.400","110.200","110.700","102.100","439.86K","-7.08%"
"Apr 10, 2022","110.200","112.800","114.500","110.200","200.78K","-2.30%"
"Apr 09, 2022","112.800","110.700","112.900","110.000","192.68K","1.90%"
"Apr 08, 2022","110.700","114.200","115.200","109.900","361.96K","-3.06%"
"Apr 07, 2022","114.200","111.600","115.000","110.300","302.84K","2.33%"
"Apr 06, 2022","111.600","122.700","123.000","111.600","609.82K","-9.05%"
"Apr 05, 2022","122.700","124.800","127.200","122.700","266.70K","-1.68%"
"Apr 04, 2022","124.800","128.800","128.900","121.200","461.77K","-3.11%"
"Apr 03, 2022","128.800","124.700","129.500","123.900","303.76K","3.29%"
"Apr 02, 2022","124.700","124.800","128.300","124.000","446.33K","-0.08%"
"Apr 01, 2022","124.800","123.800","126.300","119.200","459.33K","0.81%"
"Mar 31, 2022","123.800","131.000","132.900","121.500","925.29K","-5.50%"
"Mar 30, 2022","131.000","130.000","134.000","126.000","469.46K","0.77%"
"Mar 29, 2022","130.000","127.300","132.000","127.200","402.31K","2.12%"
"Mar 28, 2022","127.300","129.700","132.600","127.300","485.44K","-1.85%"
"Mar 27, 2022","129.700","124.900","129.700","123.300","360.94K","3.84%"
"Mar 26, 2022","124.900","123.900","125.500","122.000","222.33K","0.81%"
"Mar 25, 2022","123.900","126.500","127.300","121.800","389.34K","-2.06%"
